StartTime_new,DE_Load,DK_Load,HU_Load,IT_Load,NL_Load,PO_Load,SE_Load,SP_Load,UK_Load,green_energy_SP,green_energy_UK,green_energy_DE,green_energy_DK,green_energy_HU,green_energy_SE,green_energy_IT,green_energy_PO,green_energy_NL
2022-01-01 00:00:00,165125,3218,16457,19756,40706,13935,15331,19530,1244,10827,0,157373,3605,1376,11107,5745,4491,12768
2022-01-01 01:00:00,160415,3126,15426,18685,39465,13579,15270,18383,1131,11140,0,151747,3309,1526,11036,6228,4436,11131
2022-01-01 02:00:00,158035,3080,14781,18124,38923,13397,15150,17680,1091,11361,0,147938,3043,1560,10509,6407,4568,11324
2022-01-01 03:00:00,157016,3044,14630,18400,38211,13364,15387,17396,969,11247,0,141816,2852,1287,10770,5760,4559,11290
2022-01-01 04:00:00,154552,3130,14688,19223,38146,13449,15737,17544,896,10868,0,131970,2724,1309,10852,5501,4374,11093
2022-01-01 05:00:00,154275,3238,14960,19738,38956,13444,16054,17866,871,10935,0,129345,2579,1450,11108,6226,4303,11028
2022-01-01 06:00:00,157356,3378,15034,20289,39968,13527,16455,17806,860,11101,0,122836,2293,1627,11757,7356,4370,10421
2022-01-01 07:00:00,163000,3537,15259,21469,40808,14202,16943,18533,922,13339,0,117508,1806,2447,11774,8637,4540,10565
2022-01-01 08:00:00,171858,3714,15551,22735,41742,14851,17476,20018,1017,16179,0,119089,1655,3597,11668,9132,4402,11355
2022-01-01 09:00:00,179829,3818,16045,23636,42796,15643,17657,20989,1095,17616,0,120971,1601,4205,11407,9821,4266,13283
2022-01-01 10:00:00,188335,3893,16500,24182,42494,16235,17521,21514,1232,17581,0,123192,1832,4331,11124,10404,4014,14039
2022-01-01 11:00:00,188528,3943,16966,23270,42294,16712,17542,22105,1351,17181,0,122314,1904,3845,11016,10367,3571,14848
2022-01-01 12:00:00,184922,3915,17195,22755,43153,16874,17783,22384,1508,16585,0,117152,2116,3026,11134,9877,3103,15071
2022-01-01 13:00:00,182733,3988,17488,22881,44379,17032,18417,21106,1653,16437,0,108819,2498,2129,11616,7776,2656,15058
2022-01-01 14:00:00,183467,4213,18052,23818,45865,17715,18620,20617,1682,14798,0,99704,3200,1517,12137,7108,2368,14996
2022-01-01 15:00:00,195571,4473,19157,26742,48406,17887,18778,21096,1671,11888,0,107104,3771,1419,12574,8807,2427,14620
2022-01-01 16:00:00,207259,4407,19169,27672,52021,17929,18621,23211,1741,11040,0,117785,4339,1427,12930,9000,2133,15599
2022-01-01 17:00:00,208694,4133,19117,28393,51429,17898,17942,24435,1977,11483,0,126662,4792,1287,13225,9276,1990,16211
2022-01-01 18:00:00,203720,3970,19077,27996,49999,17594,17481,24964,2083,11812,0,131402,5052,1154,13667,8514,1944,16206
2022-01-01 19:00:00,196041,3821,18695,26693,47940,16972,17048,25189,1925,11974,0,129423,5097,1163,14060,7418,1715,15302
2022-01-01 20:00:00,191635,3619,18142,24635,46052,16426,16461,24134,1801,11616,0,131258,4892,1108,14106,5956,1625,14103
2022-01-01 21:00:00,187527,3462,17310,22404,44113,15411,16048,22552,1691,11279,0,132964,4747,1021,14048,5111,1393,13678
2022-01-01 22:00:00,176366,3351,16380,20428,42275,14480,15924,21048,1534,10740,0,133780,4078,999,13242,5044,1765,14029
2022-01-01 23:00:00,170078,3173,15480,18989,41053,13833,15328,19473,1385,10412,0,143879,3960,964,12753,5319,2295,14210
2022-01-02 00:00:00,164923,3128,14901,18083,39562,13451,15037,18375,626,10138,0,144602,3959,893,12567,5291,2740,15019
2022-01-02 01:00:00,162519,3093,14342,17740,38687,13267,14770,17841,575.5,10175,0,142061,3732,734,11610,5514,3180,15174
2022-01-02 02:00:00,162753,3063,14142,17737,38236,13326,14706,17539,525,10124,0,142190,3817,645,11090,5613,3607,15153
2022-01-02 03:00:00,163004,3149,14436,18409,38283,13714,14752,17684,1008,9878,0,139441,3814,674,10852,5213,3775,15239
2022-01-02 04:00:00,162453,3260,15008,19869,38979,14230,15202,18353,971,9438,0,137755,3700,842,10842,5063,3982,15262
2022-01-02 05:00:00,162596,3455,16122,21148,40264,14542,15916,19223,942,8995,0,133409,3663,971,11601,4843,4006,15201
2022-01-02 06:00:00,171915,3722,16881,22332,42237,14960,16545,19936,948,8929,0,141328,3639,1106,11959,5736,4155,15936
2022-01-02 07:00:00,185202,3905,17859,23775,44702,15855,16960,21531,1010,10299,0,150776,3497,1921,12765,6963,4655,16315
2022-01-02 08:00:00,195494,4097,18359,24697,46562,16709,17299,23286,1119,12463,0,160678,3341,3141,12943,8390,5087,16895
2022-01-02 09:00:00,205032,4167,18526,25360,46441,17032,17428,24126,1241,13781,0,173788,2977,3862,12812,9409,5309,16866
2022-01-02 10:00:00,216802,4198,18846,26123,47998,17414,17553,24202,1420,14397,0,186025,2635,3976,12770,10099,5460,17041
2022-01-02 11:00:00,217096,4212,18756,25308,48585,18006,17792,24673,1562,14453,0,192390,2180,3617,12616,10019,5319,17307
2022-01-02 12:00:00,212695,4191,18838,24751,47660,17914,17912,24921,1678,14131,0,194469,2213,2666,12555,8622,4891,17072
2022-01-02 13:00:00,210911,4301,19191,24918,47919,18024,18077,23869,1770,13637,0,193423,2494,1606,12521,7313,4986,16696
2022-01-02 14:00:00,214431,4521,19941,26049,48988,18627,18265,23258,1747,11678,0,194282,3073,920,12380,6958,5540,16590
2022-01-02 15:00:00,225625,4873,21433,28970,51783,18737,18541,23642,1719,8699,0,196760,3578,776,12366,9467,6536,15779
2022-01-02 16:00:00,235222,4735,21539,30088,55587,18753,18424,25965,1803,7941,0,197928,4189,769,12191,9812,7031,15979
2022-01-02 17:00:00,234292,4433,21399,30781,54121,18774,18010,27307,2088,9205,0,200611,4797,720,11929,9869,6948,15629
2022-01-02 18:00:00,227205,4183,21157,29662,52577,18378,17305,28243,2184,9599,0,198091,4885,747,11763,9444,6649,15862
2022-01-02 19:00:00,216385,3974,20457,27563,50705,17527,16546,28062,1973,9242,0,196430,4728,790,11015,7493,6557,16002
2022-01-02 20:00:00,208694,3769,19465,25326,48614,16897,16269,26650,1794,8557,0,187778,4382,832,10974,7247,6614,16371
2022-01-02 21:00:00,200590,3559,18475,22897,46842,15711,15506,24535,1655,7926,0,181714,3948,836,9366,6941,6495,16570
2022-01-02 22:00:00,188411,3394,17309,20859,44466,14918,15319,22800,1501,6772,0,177058,3615,867,8176,7732,6497,17174
2022-01-02 23:00:00,179879,3345,16340,19413,42800,14446,15049,21173,1322,6853,0,177722,3424,1029,8078,7833,6163,16800
2022-01-03 00:00:00,173128,3308,15728,18841,41392,14223,14808,20153,1129,7304,0,172760,3273,1232,7897,7919,5846,15291
2022-01-03 01:00:00,170685,3285,15247,18543,40806,14320,14886,19679,1012,7764,0,167692,3297,1219,7897,8100,5513,15191
2022-01-03 02:00:00,173478,3361,15225,19052,40492,14814,15344,19754,980,8240,0,167340,3700,1006,8390,8306,5119,14849
2022-01-03 03:00:00,181772,3584,16018,20705,40988,15727,15734,20516,926,7981,0,171197,4312,960,8801,8372,4559,15229
2022-01-03 04:00:00,199216,4201,18135,24670,43740,18749,17213,22969,911,7817,0,184861,4806,1144,10816,6553,4420,16200
2022-01-03 05:00:00,228635,4772,21080,28930,47804,20921,18764,26155,930,8125,0,201144,5033,982,12637,7130,4176,16798
2022-01-03 06:00:00,250878,5079,22265,32665,52778,22135,19396,28546,990,9028,0,203075,5162,1426,12970,9251,4405,16929
2022-01-03 07:00:00,261928,5072,22989,35378,57029,22929,19451,30212,1170,11578,0,204140,5753,1768,12979,10528,4455,17148
2022-01-03 08:00:00,267001,5190,23502,35696,58111,22935,19620,31106,1341,14369,0,207695,6024,1798,13029,10719,4777,17144
2022-01-03 09:00:00,272754,5246,23775,35706,56875,23366,19916,30788,1489,15819,0,212278,6272,1982,13356,10817,5297,17154
2022-01-03 10:00:00,279273,5134,23804,34695,55464,23608,20005,30499,1670,16915,0,218945,6382,2502,13394,10591,5885,17297
2022-01-03 11:00:00,280238,5078,23651,34343,55854,23666,20204,30485,1781,17930,0,217933,6390,2595,13650,10331,5969,17371
2022-01-03 12:00:00,275534,5043,22992,34803,56252,23374,20225,30083,1857,18416,0,209299,6309,2797,13776,9426,5787,17332
2022-01-03 13:00:00,272737,5021,23119,35188,57466,23417,20687,29167,1969,18606,0,198213,6378,2118,14050,8513,5962,17064
2022-01-03 14:00:00,268449,5200,23529,36242,58816,23971,20855,28768,1979,16944,0,190058,6361,1473,14221,8320,5982,16699
2022-01-03 15:00:00,273844,5535,24350,38273,61242,23882,21041,29274,1979,14300,0,192428,6482,1206,14550,9732,5841,16391
2022-01-03 16:00:00,281315,5326,24105,38007,63810,23558,20625,31072,2046,13702,0,190516,6151,1055,14547,9455,5532,15956
2022-01-03 17:00:00,278636,4973,23765,37629,60621,23340,20368,31843,2398,14509,0,185030,5583,981,14838,8682,5111,15161
2022-01-03 18:00:00,268893,4586,23324,35243,58003,22852,19675,32306,2500,14881,0,176424,5041,882,14419,7753,4985,14794
2022-01-03 19:00:00,251772,4316,22524,32509,54823,21306,18948,31729,2291,15087,0,166359,4451,768,13911,6639,4895,13703
2022-01-03 20:00:00,238359,4040,21649,29132,52129,19825,18102,29097,2150,15037,0,161303,4080,824,13610,6307,4813,12828
2022-01-03 21:00:00,225141,3758,20734,26221,49295,18509,17269,26455,1984,14543,0,153796,3692,857,13214,6234,4880,12028
2022-01-03 22:00:00,211453,3577,19566,23813,46530,17594,17009,24775,1792,14896,0,145973,3238,789,12234,6126,4727,11360
2022-01-03 23:00:00,200166,3488,18383,22311,44424,16880,16824,22985,1587,15911,0,147704,2933,824,11811,6035,4421,10775
2022-01-04 00:00:00,192525,3429,17491,21366,43524,16612,16796,21880,1399,17277,0,142454,2736,847,11465,6126,4178,10085
2022-01-04 01:00:00,190963,3454,16824,21079,42615,16603,16723,21345,1261,17653,0,131827,2788,901,11440,6684,4185,9834
2022-01-04 02:00:00,193124,3528,16628,21376,42249,16936,17084,21264,1242,17529,0,122773,2744,938,11984,7298,3970,8640
2022-01-04 03:00:00,199292,3716,17349,22797,42804,17763,17985,21935,1194,16689,0,111458,2475,906,12625,7379,3757,7541
2022-01-04 04:00:00,213215,4255,19280,26625,45047,20158,19017,24068,1156,15497,0,103242,2521,874,13141,7089,3568,7402
2022-01-04 05:00:00,235791,4878,22153,30832,49175,22051,20133,26973,1148,15269,0,99290,2769,866,13342,7686,3300,6612
